day,open,high,low,close,volume,stock
58,137.9241344972194,138.2036396232869,137.11452032216755,137.73287748215267,179,MSFT
59,137.6908585033073,139.94518080983462,137.1811558317312,139.94518080983462,315,MSFT
60,139.86786185991144,142.11649241089236,139.86786185991144,141.57616549770378,3177,MSFT
61,141.51243246116866,144.46520459734575,139.9205336677748,139.9205336677748,103291,MSFT
62,139.80673796498786,142.4575368545366,138.6132186810056,142.15620249441085,62211,MSFT
63,142.2187475306835,143.30066134603234,141.75026620881283,142.3884699822206,6536,MSFT
64,142.362076771602,145.17255963949611,142.22192042698603,144.20849895504224,2053,MSFT
65,144.19791369798352,145.68631925507515,142.14490393539216,142.8543520729719,95794,MSFT
66,142.9905293220679,143.9297057294405,141.7023219920182,143.75342403053602,72884,MSFT
67,143.7553674180902,145.4263333050702,142.27085383240967,143.91134069392783,91572,MSFT
68,144.02110287707586,145.79070740082594,143.42026912112416,144.34724803174615,9044,MSFT
69,144.3542325497483,148.54104131162285,144.3149534281125,148.08172901862807,8863,MSFT
70,147.9011326093016,149.46930177524578,146.50369314450055,149.0004364213209,69455,MSFT
71,149.0347421712599,149.9401743104092,146.31313476876983,146.49254309582753,89667,MSFT
72,146.42845283976985,147.94256289862764,145.15360538559798,147.37118067698896,72634,MSFT
73,147.38072073512214,148.38530065902071,145.4523834953068,147.98399171628836,4947,MSFT
74,148.09749983255614,149.4748893405714,145.91559513399798,145.91559513399798,2724,MSFT
75,146.03257112677954,147.77000644797798,145.30496655860514,147.60635664866297,2422,MSFT
76,147.53770885231947,148.89722477122575,146.79236207523692,147.86478944023258,92867,MSFT
77,147.99521967693468,148.62426679612727,145.0542248278686,146.45768119576016,73745,MSFT
78,146.35715858992802,146.91772001371882,144.12925443209267,145.1999183850859,4226,MSFT
79,145.03132499334916,147.86263553683398,144.9798426066104,146.88035362234456,3935,MSFT
80,146.93199693000446,148.81314846341573,146.75576715414758,147.06654564686608,4229,MSFT
81,147.0425604586812,148.48057644796927,146.33187880905402,146.40749235263766,97463,MSFT
82,146.50454525587068,146.634895642207,144.07309285949623,145.4167844521602,12525,MSFT
83,145.45273658406964,146.7739603920743,144.27547551000575,146.3010365095322,5080,MSFT
84,146.3491896068418,148.52119289827087,146.3491896068418,147.82773613533226,4709,MSFT
85,147.84891017420594,148.4442854435471,145.04739646722942,146.90472134931548,17207,MSFT
86,146.98054516760726,147.03158542228016,142.85327882227085,143.24964423906079,13753,MSFT
87,143.40992578727813,145.96634877426015,143.24539233147047,143.72329450603024,81878,MSFT
88,143.89899663548547,145.05228794349316,142.54617989911438,144.1596428617004,938,MSFT
89,144.36222468233024,145.91062861390353,143.78078712387136,144.27427850584948,1220,MSFT
90,144.3862102147843,144.43365563347226,140.7516327402309,142.09478203948973,8680,MSFT
91,142.0865228440352,143.5287550967218,141.93654268663957,142.59180986599364,307,MSFT
92,142.5173702113022,143.17505401081328,140.91350044651858,142.4799596475414,4602,MSFT
93,142.41359966902533,142.97674681909442,141.88672352637846,142.34512885330184,62,MSFT
94,142.2840598896534,143.28096678097185,140.4885547011482,140.93747768104876,83284,MSFT
95,140.8981943686473,143.3949052565577,140.15932675333602,143.23367770174994,77159,MSFT
96,143.51362594271072,146.52674838921314,143.26280850787535,145.98777577255274,1909,MSFT
97,145.88469261440883,147.898682682634,145.2729327362141,146.287353692934,90020,MSFT
98,146.45405479937298,147.53539829031783,144.7117478646309,145.53761333339472,3331,MSFT
99,145.51926232279752,146.62811927576942,143.61189091201217,146.3719936460416,78520,MSFT
0,160.0,162.94180338490057,159.77773150606222,161.98313421964383,23092,DSM
1,161.97479015884107,162.7962768994036,160.99391560230768,161.2811668850702,17774,DSM
2,161.34039379750746,161.99578657538447,158.09323913230202,158.46978948288856,28384,DSM
3,158.39223939913623,158.59631843548073,155.74519369579892,158.40168313409245,9650,DSM
4,158.44325738161078,159.88113046495772,157.53011917994272,158.44668123417145,10746,DSM
5,158.34982837044268,159.46065274101568,157.256038844985,157.73086206052582,4636,DSM
6,157.64514136187827,157.8653547105164,155.7293891661945,156.31164657411966,99594,DSM
7,156.16303830935374,159.02076124101285,155.86460952152603,157.79549237904686,10955,DSM
8,157.9275551437407,160.14016724449593,157.18512821066565,158.63760905583365,10771,DSM
9,158.5990562284076,159.4869645616672,157.4400038293005,158.01154615347374,9768,DSM
10,158.1481567548843,158.94906249157563,156.11340482616552,156.22426727443187,10437,DSM
11,155.9929855570994,156.18174711443476,154.7364631840771,155.92196351349344,6437,DSM
12,156.0483708551683,158.60440926033706,155.68747648696475,158.15222822188437,7784,DSM
13,158.2694804639092,162.4030845681962,157.9630369939018,161.98487591691983,8086,DSM
14,161.99358227953354,163.63412091795152,161.71573078511784,163.48103065166748,88938,DSM
15,163.61939800026386,165.41473382939344,163.4131962363289,164.98606535067395,82098,DSM
16,165.0891521303823,165.7500823034532,161.8598898949909,163.41647291445454,83661,DSM
17,163.41802361303107,163.7617607315544,160.12554296046895,162.62323870877177,2657,DSM
18,162.64329445585204,164.90467153823136,162.59383154408943,163.3171948893595,2859,DSM
19,163.42697727593776,164.3885437070564,161.73809353341466,161.86202275303796,2687,DSM
20,161.86949562480288,163.69473870663774,160.61933841160797,163.379575274959,2337,DSM
21,163.30070002279513,166.86117829867752,162.93016027545585,164.97796802986016,3645,DSM
22,165.11358895290346,165.11821018883566,162.54647745261315,164.03724000605737,751,DSM
